Iteration,Loss_D,Loss_G
30400,1.213,2.138
30450,0.7683,2.1414
30500,1.0324,1.8083
30550,1.6013,2.8891
30600,0.9041,1.8915
30650,0.9017,2.3497
30700,1.0649,2.4257
30750,0.9915,1.7846
30800,1.2917,3.3243
30850,1.0746,2.021
30900,1.0083,1.4545
30950,1.1034,1.2946
31000,0.9163,3.6711
31050,1.6075,1.2963
31100,1.1919,1.6659
31150,1.1475,2.1743
31200,1.6382,5.4323
31250,1.347,1.4948
31300,0.9981,2.0499
31350,1.183,1.4227
31400,1.0284,2.7215
31450,0.9658,2.5237
31500,1.0591,1.8046
31550,0.9783,1.968
31600,0.7442,2.2806
31650,1.1029,6.5554
31700,3.3793,2.6191
31750,1.6751,2.1504
31800,1.0657,1.5156
31850,1.0955,2.5919
31900,0.9289,2.4237
31950,0.9548,1.6037
32000,0.9783,1.3522
32050,0.9184,2.5167
32100,1.2421,1.0749
32150,0.9711,1.0995
32200,1.4796,6.316
32250,2.6319,2.5244
32300,1.8908,2.1239
32350,1.5319,1.9052
32400,0.8203,1.1943
32450,2.2928,0.212
32500,0.9975,2.1093
32550,0.7777,1.6414
32600,1.0004,1.7606
32650,0.9993,0.5342
32700,1.4752,2.8914
32750,0.9762,2.1982
32800,0.5577,2.1084
32850,1.1137,3.3534
32900,0.8327,2.4342
32950,1.8702,2.6894
33000,1.1495,3.0308
33050,0.8486,1.2149
33100,0.9401,1.8279
33150,0.7433,2.2377
33200,1.6632,6.0195
33250,0.8207,2.0771
33300,1.2115,1.5572
33350,1.0138,1.2503
33400,1.3287,2.1118
33450,0.9195,1.6771
33500,1.1602,1.1961
33550,0.3632,1.5587
33600,1.1602,1.434
33650,1.9822,1.3028
33700,1.3378,0.9444
33750,0.9757,2.9128
33800,0.8934,1.2156
33850,0.8483,1.9112
33900,0.9196,1.6867
33950,0.7727,1.4754
34000,5.1051,3.4197
34050,0.8335,2.6528
